id,id_grid,organ,image_path,mask_path,fold
18445,18445_0003,largeintestine,../input/hubmap-2022-256x256/train/18445_0003.png,../input/hubmap-2022-256x256/masks/18445_0003.png,2.0
28052,28052_0001,lung,../input/hubmap-2022-256x256/train/28052_0001.png,../input/hubmap-2022-256x256/masks/28052_0001.png,4.0
6794,6794_0003,prostate,../input/hubmap-2022-256x256/train/6794_0003.png,../input/hubmap-2022-256x256/masks/6794_0003.png,3.0
1184,1184_0002,prostate,../input/hubmap-2022-256x256/train/1184_0002.png,../input/hubmap-2022-256x256/masks/1184_0002.png,1.0
29223,29223_0004,prostate,../input/hubmap-2022-256x256/train/29223_0004.png,../input/hubmap-2022-256x256/masks/29223_0004.png,0.0
24222,24222_0000,kidney,../input/hubmap-2022-256x256/train/24222_0000.png,../input/hubmap-2022-256x256/masks/24222_0000.png,0.0
24222,24222_0001,kidney,../input/hubmap-2022-256x256/train/24222_0001.png,../input/hubmap-2022-256x256/masks/24222_0001.png,1.0
27587,27587_0001,largeintestine,../input/hubmap-2022-256x256/train/27587_0001.png,../input/hubmap-2022-256x256/masks/27587_0001.png,1.0
15192,15192_0007,kidney,../input/hubmap-2022-256x256/train/15192_0007.png,../input/hubmap-2022-256x256/masks/15192_0007.png,1.0
30194,30194_0003,kidney,../input/hubmap-2022-256x256/train/30194_0003.png,../input/hubmap-2022-256x256/masks/30194_0003.png,0.0
2447,2447_0000,kidney,../input/hubmap-2022-256x256/train/2447_0000.png,../input/hubmap-2022-256x256/masks/2447_0000.png,2.0
23959,23959_0008,prostate,../input/hubmap-2022-256x256/train/23959_0008.png,../input/hubmap-2022-256x256/masks/23959_0008.png,2.0
7902,7902_0007,prostate,../input/hubmap-2022-256x256/train/7902_0007.png,../input/hubmap-2022-256x256/masks/7902_0007.png,3.0
29690,29690_0001,spleen,../input/hubmap-2022-256x256/train/29690_0001.png,../input/hubmap-2022-256x256/masks/29690_0001.png,3.0
26101,26101_0008,kidney,../input/hubmap-2022-256x256/train/26101_0008.png,../input/hubmap-2022-256x256/masks/26101_0008.png,4.0
30201,30201_0006,spleen,../input/hubmap-2022-256x256/train/30201_0006.png,../input/hubmap-2022-256x256/masks/30201_0006.png,3.0
3303,3303_0002,largeintestine,../input/hubmap-2022-256x256/train/3303_0002.png,../input/hubmap-2022-256x256/masks/3303_0002.png,4.0
30394,30394_0007,lung,../input/hubmap-2022-256x256/train/30394_0007.png,../input/hubmap-2022-256x256/masks/30394_0007.png,0.0
15499,15499_0008,largeintestine,../input/hubmap-2022-256x256/train/15499_0008.png,../input/hubmap-2022-256x256/masks/15499_0008.png,0.0
27128,27128_0004,largeintestine,../input/hubmap-2022-256x256/train/27128_0004.png,../input/hubmap-2022-256x256/masks/27128_0004.png,1.0
9437,9437_0008,kidney,../input/hubmap-2022-256x256/train/9437_0008.png,../input/hubmap-2022-256x256/masks/9437_0008.png,4.0
9231,9231_0004,prostate,../input/hubmap-2022-256x256/train/9231_0004.png,../input/hubmap-2022-256x256/masks/9231_0004.png,3.0
12784,12784_0008,kidney,../input/hubmap-2022-256x256/train/12784_0008.png,../input/hubmap-2022-256x256/masks/12784_0008.png,2.0
22236,22236_0006,spleen,../input/hubmap-2022-256x256/train/22236_0006.png,../input/hubmap-2022-256x256/masks/22236_0006.png,4.0
32009,32009_0003,prostate,../input/hubmap-2022-256x256/train/32009_0003.png,../input/hubmap-2022-256x256/masks/32009_0003.png,4.0
15787,15787_0005,kidney,../input/hubmap-2022-256x256/train/15787_0005.png,../input/hubmap-2022-256x256/masks/15787_0005.png,0.0
14388,14388_0001,lung,../input/hubmap-2022-256x256/train/14388_0001.png,../input/hubmap-2022-256x256/masks/14388_0001.png,0.0
62,62_0002,kidney,../input/hubmap-2022-256x256/train/62_0002.png,../input/hubmap-2022-256x256/masks/62_0002.png,4.0
5099,5099_0000,kidney,../input/hubmap-2022-256x256/train/5099_0000.png,../input/hubmap-2022-256x256/masks/5099_0000.png,0.0
4561,4561_0003,largeintestine,../input/hubmap-2022-256x256/train/4561_0003.png,../input/hubmap-2022-256x256/masks/4561_0003.png,2.0
12466,12466_0007,spleen,../input/hubmap-2022-256x256/train/12466_0007.png,../input/hubmap-2022-256x256/masks/12466_0007.png,3.0
660,660_0006,kidney,../input/hubmap-2022-256x256/train/660_0006.png,../input/hubmap-2022-256x256/masks/660_0006.png,0.0
28436,28436_0006,kidney,../input/hubmap-2022-256x256/train/28436_0006.png,../input/hubmap-2022-256x256/masks/28436_0006.png,1.0
27468,27468_0001,kidney,../input/hubmap-2022-256x256/train/27468_0001.png,../input/hubmap-2022-256x256/masks/27468_0001.png,3.0
15124,15124_0008,lung,../input/hubmap-2022-256x256/train/15124_0008.png,../input/hubmap-2022-256x256/masks/15124_0008.png,2.0
16149,16149_0004,prostate,../input/hubmap-2022-256x256/train/16149_0004.png,../input/hubmap-2022-256x256/masks/16149_0004.png,4.0
11064,11064_0000,lung,../input/hubmap-2022-256x256/train/11064_0000.png,../input/hubmap-2022-256x256/masks/11064_0000.png,4.0
16216,16216_0003,kidney,../input/hubmap-2022-256x256/train/16216_0003.png,../input/hubmap-2022-256x256/masks/16216_0003.png,0.0
144,144_0003,spleen,../input/hubmap-2022-256x256/train/144_0003.png,../input/hubmap-2022-256x256/masks/144_0003.png,3.0
31290,31290_0004,spleen,../input/hubmap-2022-256x256/train/31290_0004.png,../input/hubmap-2022-256x256/masks/31290_0004.png,4.0
